SUBSTANCIA;CNPJ;LABORATORIO;APRESENTACAO;REGIME_DE_PRECO;PRECO_SEM_IMPOSTOS;TARJA
ACEBROFILINA;17.159.229/0001-76;LABORAT_RIO TEUTO BRASILEIRO S/A;10 MG/ML XPE CT FR PET AMB X 120 ML + COP;Regulado;18.5;Tarja Vermelha
ACEBROFILINA;83.874.628/0001-43;LABORAT_RIO FARMAC_UTICO ELOFAR LTDA;5 MG / ML XPE CT FR PET AMB X 120 ML + COP;Regulado;15.83;Tarja Vermelha
ACEBROFILINA;45.992.062/0001-65;GERMED FARMACEUTICA LTDA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;Regulado;13.42;Tarja Vermelha (*)
ACEBROFILINA;45.992.062/0001-65;GERMED FARMACEUTICA LTDA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;Regulado;18.3;Tarja Vermelha
ACEBROFILINA;17.159.229/0001-76;LABORAT_RIO TEUTO BRASILEIRO S/A;5MG/ML XPE CT FR PET AMB X 120ML + COP;Regulado;13.25;Tarja Vermelha
ACEBROFILINA;53.162.095/0001-06;BIOSINT_TICA FARMAC_UTICA LTDA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;Regulado;13.41;Tarja Vermelha
ACEBROFILINA;53.162.095/0001-06;BIOSINT_TICA FARMAC_UTICA LTDA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;Regulado;18.99;Tarja Vermelha
ACEBROFILINA;05.161.069/0001-10;BRAINFARMA IND_STRIA QU_MICA E FARMAC_UTICA S.A;5 MG / ML XPE CT FR VD AMB X 120 ML + COP;Regulado;19.61;Tarja Vermelha
ACEBROFILINA;05.161.069/0001-10;BRAINFARMA IND_STRIA QU_MICA E FARMAC_UTICA S.A;10 MG/ ML XPE CT FR VD AMB X 120 ML + COP;Regulado;26.64;Tarja Vermelha
ACEBROFILINA;17.115.437/0001-73;LABORAT_RIO GLOBO LTDA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;Regulado;10.77;Tarja Vermelha (*)
ACEBROFILINA;17.115.437/0001-73;LABORAT_RIO GLOBO LTDA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;Regulado;12.82;Venda Livre/Sem Tarja (*)
ACEBROFILINA;05.161.069/0001-10;BRAINFARMA IND_STRIA QU_MICA E FARMAC_UTICA S.A;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;Regulado;17.93;Tarja Vermelha
ACEBROFILINA;05.161.069/0001-10;BRAINFARMA IND_STRIA QU_MICA E FARMAC_UTICA S.A;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;Regulado;13.22;Tarja Vermelha (*)
ACEBROFILINA;17.875.154/0001-20;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;Regulado;14.04;Tarja Vermelha
ACEBROFILINA;11.643.096/0001-22;MYLAN LABORATORIOS LTDA;5 MG/ML GEL OR CT FR PLAS INC X 60ML + COL MED;Regulado;6.63;Tarja Vermelha
ACEBROFILINA;11.643.096/0001-22;MYLAN LABORATORIOS LTDA;5 MG/ML GEL OR CT FR PLAS INC X 120ML + COL MED;Regulado;13.25;Tarja Vermelha (*)
ACEBROFILINA;11.643.096/0001-22;MYLAN LABORATORIOS LTDA;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;Regulado;20.16;Tarja Vermelha (*)
ACEBROFILINA;17.875.154/0001-20;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;Regulado;20.8;Tarja Vermelha (*)
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED__;Regulado;18.18;Tarja Vermelha (*)
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED___;Regulado;14.07;Tarja Vermelha (*)
ACEBROFILINA;60.659.463/0029-92;ACH_ LABORAT_RIOS FARMAC_UTICOS S.A;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED_;Regulado;13.41;Tarja Vermelha (*)
ACEBROFILINA;60.659.463/0029-92;ACH_ LABORAT_RIOS FARMAC_UTICOS S.A;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;Regulado;18.99;Tarja Vermelha (*)
ACEBROFILINA;60.659.463/0029-92;ACH_ LABORAT_RIOS FARMAC_UTICOS S.A;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;Regulado;13.41;Tarja Vermelha (*)
ACEBROFILINA;60.659.463/0029-92;ACH_ LABORAT_RIOS FARMAC_UTICOS S.A;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;Regulado;18.99;Venda Livre/Sem Tarja (*)
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;5 MG/ML XPE INF CT FR PLAS AMB X 120 ML + COP;Regulado;13.94;Tarja Vermelha (*)
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;10 MG/ML XPE AD CT FR PLAS AMB X 120 ML + COP;Regulado;18.99;Tarja Vermelha (*)
ACEBROFILINA;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;Regulado;13.25;Tarja Vermelha (*)
ACEBROFILINA;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;Regulado;18.69;Tarja Vermelha
ACEBROFILINA;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;Regulado;13.74;Tarja Vermelha (*)
ACEBROFILINA;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;Regulado;18.82;Tarja Vermelha
ACEBROFILINA;57.507.378/0003-65;EMS S/A;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;Regulado;13.24;Tarja Vermelha (*)
ACEBROFILINA;57.507.378/0003-65;EMS S/A;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;Regulado;18.69;Tarja Vermelha (*)
ACEBROFILINA;17.159.229/0001-76;LABORAT_RIO TEUTO BRASILEIRO S/A;10MG/ML XPE CT FR PLAS OPC X 120ML + COP;Regulado;17.61;Tarja Vermelha (*)
ACEBROFILINA;17.159.229/0001-76;LABORAT_RIO TEUTO BRASILEIRO S/A;5MG/ML XPE CT FR PLAS OPC X 120ML + COP;Regulado;13.59;Tarja Vermelha
ACEBROFILINA;29.785.870/0001-03;LABORAT_RIO NEO QU_MICA COM_RCIO E IND_STRIA LTDA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;Regulado;12.68;Tarja Vermelha
ACEBROFILINA;29.785.870/0001-03;LABORAT_RIO NEO QU_MICA COM_RCIO E IND_STRIA LTDA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;Regulado;17.2;Tarja Vermelha
ACEBROFILINA;60.659.463/0029-92;ACH_ LABORAT_RIOS FARMAC_UTICOS S.A;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML;Regulado;32.03;Tarja Vermelha (*)
ACEBROFILINA;60.659.463/0029-92;ACH_ LABORAT_RIOS FARMAC_UTICOS S.A;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML;Regulado;21.62;Tarja Vermelha (*)
ACEBROFILINA;60.659.463/0029-92;ACH_ LABORAT_RIOS FARMAC_UTICOS S.A;10 MG/ML XPE CT FR PLAS AMB X 60 ML + COP  X 10 ML;Regulado;15.99;Tarja Vermelha (*)
ACEBROFILINA;60.659.463/0029-92;ACH_ LABORAT_RIOS FARMAC_UTICOS S.A;5 MG/ML XPE CT FR PLAS AMB X 60 ML + COP X 10 ML;Regulado;10.82;Tarja Vermelha (*)
ACEBROFILINA;17.115.437/0001-73;LABORAT_RIO GLOBO LTDA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;Regulado;16.27;Tarja Vermelha
ACEBROFILINA;17.115.437/0001-73;LABORAT_RIO GLOBO LTDA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;Regulado;23.47;Tarja Vermelha (*)
ACEBROFILINA;53.162.095/0001-06;BIOSINT_TICA FARMAC_UTICA LTDA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED_;Regulado;13.41;Tarja Vermelha
ACEBROFILINA;53.162.095/0001-06;BIOSINT_TICA FARMAC_UTICA LTDA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;Regulado;18.99;Venda Livre/Sem Tarja (*)
ACEBROFILINA;73.856.593/0001-66;PRATI DONADUZZI & CIA LTDA;5 MG/ ML XPE CX 50 FR PLAS OPC X 120 ML + 50 COP;Regulado;403.77;Tarja Vermelha (*)
ACEBROFILINA;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;Regulado;14.07;Tarja Vermelha (*)
ACEBROFILINA;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;Regulado;20.82;Venda Livre/Sem Tarja (*)
ACEBROFILINA;03.485.572/0001-04;GEOLAB IND_STRIA FARMAC_UTICA S/A;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;Regulado;25.65;Tarja Vermelha (*)
ACEBROFILINA;03.485.572/0001-04;GEOLAB IND_STRIA FARMAC_UTICA S/A;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;Regulado;18.41;Tarja Vermelha (*)
ACEBROFILINA;03.485.572/0001-04;GEOLAB IND_STRIA FARMAC_UTICA S/A;10MG/ML XPE CT FR VD AMB X 120ML + COP;Regulado;20.79;Tarja Vermelha (*)
ACEBROFILINA;03.485.572/0001-04;GEOLAB IND_STRIA FARMAC_UTICA S/A;5MG/ML XPE CT FR VD AMB X 120ML + COP;Regulado;14.06;Tarja Vermelha
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;5 MG/ML XPE INF CT FR VD AMB X 120 ML + COP;Regulado;13.94;Tarja Vermelha (*)
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED__;Regulado;18.18;Tarja Vermelha (*)
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;10 MG/ML XPE AD CT FR VD AMB X 120 ML + COP;Regulado;18.99;Tarja Vermelha
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED___;Regulado;14.07;Tarja Vermelha (*)
ACEBROFILINA;10.588.595/0010-92;SANOFI MEDLEY FARMAC_UTICA LTDA.;5 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR__;Regulado;13.23;Tarja Vermelha (*)
ACEBROFILINA;02.814.497/0001-07;CIMED IND_STRIA DE MEDICAMENTOS LTDA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED_;Regulado;17.55;Tarja Vermelha
ACEBROFILINA;02.814.497/0001-07;CIMED IND_STRIA DE MEDICAMENTOS LTDA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;Regulado;12.65;Tarja Vermelha (*)
ACEBROFILINA;17.159.229/0001-76;LABORAT_RIO TEUTO BRASILEIRO S/A;5 MG/ML XPE CT FR VD AMB X 120ML__;Regulado;13.25;Tarja Vermelha
ACEBROFILINA;17.159.229/0001-76;LABORAT_RIO TEUTO BRASILEIRO S/A;10 MG/ML XPE CT FR VD AMB X 120ML_;Regulado;18.5;Tarja Vermelha
ACEBROFILINA;11.643.096/0001-22;MYLAN LABORATORIOS LTDA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;Regulado;14.6;Tarja Vermelha (*)
ACEBROFILINA;83.874.628/0001-43;LABORAT_RIO FARMAC_UTICO ELOFAR LTDA;10 MG / ML XPE CT FR VD AMB X 100 ML + COP_;Regulado;19.1;Tarja Vermelha
ACEBROFILINA;83.874.628/0001-43;LABORAT_RIO FARMAC_UTICO ELOFAR LTDA;5 MG / ML XPE  CT FR VD AMB X 100 ML + COP;Regulado;13.19;Tarja Vermelha
ACECLOFENACO;73.663.650/0001-90;RANBAXY FARMAC_UTICA LTDA;100 MG COM REV CT STR AL X 24;Regulado;38.54;Tarja Vermelha
ACECLOFENACO;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;100 MG COM REV CT BL AL AL X 12;Regulado;22.14;Tarja Vermelha
ACECLOFENACO;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;100 MG COM REV CT BL AL AL X 24;Regulado;44.26;Tarja Vermelha
ACECLOFENACO;57.507.378/0003-65;EMS S/A;100 MG  COM  REV CT BL AL AL X 12;Regulado;22.14;Tarja Vermelha
ACECLOFENACO;57.507.378/0003-65;EMS S/A;100 MG COM REV CT BL AL AL X 12;Regulado;22.14;Tarja Vermelha (*)
ACECLOFENACO;30.222.814/0001-31;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;100 MG COM REV CT ENV AL X 12_;Regulado;30.47;Tarja Vermelha
ACECLOFENACO;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;100 MG COM REV CT BL AL AL X 12;Regulado;26.27;Tarja Vermelha (*)
ACECLOFENACO;05.044.984/0001-26;LEGRAND PHARMA IND_STRIA FARMAC_UTICA LTDA;100 MG COM REV CT BL AL AL X 12;Regulado;22.14;Tarja Vermelha
ACECLOFENACO;45.992.062/0001-65;GERMED FARMACEUTICA LTDA;100 MG COM REV CT BL AL AL X 12;Regulado;20.92;Tarja Vermelha
ACECLOFENACO;45.992.062/0001-65;GERMED FARMACEUTICA LTDA;100 MG COM REV CT BL AL AL X 24;Regulado;41.8;Tarja Vermelha (*)
ACECLOFENACO;30.222.814/0001-31;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;100 MG COM REV CT ENV AL X 12;Regulado;19.98;Tarja Vermelha
ACECLOFENACO;05.254.971/0001-81;ZYDUS NIKKHO FARMAC_UTICA LTDA;100 MG COM CT BL AL/AL X 12;Regulado;22.12;Tarja Vermelha (*)
ACECLOFENACO;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;100 MG  COM  REV CT BL AL AL X 6;Regulado;11.07;Tarja Vermelha
ACECLOFENACO;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;100 MG  COM  REV CT BL AL AL X 12;Regulado;22.14;Tarja Vermelha
ACECLOFENACO;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;100 MG  COM  REV CT BL AL AL X 16_;Regulado;29.51;Tarja Vermelha
ACECLOFENACO;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;100 MG  COM  REV CT BL AL AL X 24;Regulado;44.26;Tarja Vermelha
ACECLOFENACO;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;100 MG  COM  REV CT BL AL PLAS OPC X 6_;Regulado;11.07;Tarja Vermelha
ACECLOFENACO;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;100 MG  COM  REV CT BL AL PLAS OPC X 12;Regulado;22.14;Tarja Vermelha (*)
ACECLOFENACO;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;100 MG  COM  REV CT BL AL PLAS OPC X 16;Regulado;29.51;Tarja Vermelha
ACECLOFENACO;72.593.791/0001-11;NOVA QUIMICA FARMAC_UTICA S/A;100 MG  COM  REV CT BL AL PLAS OPC X 24;Regulado;44.26;Tarja Vermelha (*)
ACECLOFENACO;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;15 MG/G CREM CT TB AL X 30 G;Liberado;19.79;Venda Livre
ACECLOFENACO;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;100 MG COM REV CT BL AL/AL X 12;Regulado;34.06;Tarja Vermelha
ACECLOFENACO;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;100 MG COM REV CT BL AL / AL X 6;Regulado;16.41;Tarja Vermelha (*)
ACECLOFENACO;57.507.378/0003-65;EMS S/A;15 MG/G CREM DERM CT BG AL X 30 G;Liberado;12.64;Tarja Vermelha (*)
ACECLOFENACO;45.992.062/0001-65;GERMED FARMACEUTICA LTDA;15 MG/G CREM DERM CT BG AL X 30 G_;Liberado;12.96;Venda Livre
ACECLOFENACO;73.663.650/0001-90;RANBAXY FARMAC_UTICA LTDA;100 MG COM REV CT STR AL X 12;Regulado;20.61;Tarja Vermelha
ACECLOFENACO;02.814.497/0001-07;CIMED IND_STRIA DE MEDICAMENTOS LTDA;100 MG COM REV CT STR AL X 12;Regulado;21.21;Tarja Vermelha (*)
ACECLOFENACO;05.399.786/0001-85;UNICHEM FARMAC_UTICA DO BRASIL LTDA;100 MG COM REV CT BL AL AL X 12;Regulado;19.59;Tarja Vermelha (*)
ACECLOFENACO;05.399.786/0001-85;UNICHEM FARMAC_UTICA DO BRASIL LTDA;100 MG COM REV CT BL AL AL X 24;Regulado;36.64;Tarja Vermelha (*)
ACEPONATO DE METILPREDNISOLONA;18.459.628/0001-15;BAYER S.A.;1 MG/G CREM DERM CT BG AL X 15 G;Regulado;33.76;Tarja Vermelha (*)
ACEPONATO DE METILPREDNISOLONA;18.459.628/0001-15;BAYER S.A.;1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML;Regulado;46.23;Tarja Vermelha (*)
ACEPONATO DE METILPREDNISOLONA;18.459.628/0001-15;BAYER S.A.;1 MG/G EMU DERM CT BG AL X 20 G;Regulado;43.24;Tarja Vermelha
ACETATO DE ABIRATERONA;51.780.468/0001-87;JANSSEN-CILAG FARMAC_UTICA LTDA;250 MG COM CT FR PLAS OPC X 120;Regulado;8324.07;Venda Livre/Sem Tarja (*)
ACETATO DE ABIRATERONA;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;250 MG COM REV CT FR PLAS PEAD OPC X 30;Regulado;1352.66;Tarja Vermelha (*)
ACETATO DE ABIRATERONA;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;250 MG COM REV CT FR PLAS PEAD OPC X 60;Regulado;2705.32;Tarja Vermelha (*)
ACETATO DE ABIRATERONA;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;250 MG COM REV CT FR PLAS PEAD OPC X 120;Regulado;5410.25;Tarja Vermelha (*)
ACETATO DE ABIRATERONA;03.978.166/0001-75;DR. REDDYS FARMAC_UTICA DO BRASIL LTDA;250 MG COM REV CT FR PLAS PEAD OPC X 120;Regulado;4672.56;Tarja Vermelha (*)
ACETATO DE ABIRATERONA;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;250 MG COM CT BL AL PLAS TRANS X 120;Regulado;8222.8;Tarja Vermelha (*)
ACETATO DE ABIRATERONA;51.780.468/0001-87;JANSSEN-CILAG FARMAC_UTICA LTDA;500 MG COM REV CT FR PLAS PEAD OPC X 60;Regulado;8324.07;Tarja Vermelha
ACETATO DE ABIRATERONA;05.035.244/0001-23;SUN FARMAC_UTICA DO BRASIL LTDA;250 MG COM CT FR PLAS PEAD OPC X 120;Regulado;5410.64;Tarja Vermelha (*)
ACETATO DE ABIRATERONA;61.230.314/0001-75;LIBBS FARMAC_UTICA LTDA;250 MG COM CT BL AL PLAS PVC/PVDC TRANS X 120;Regulado;8035.12;Tarja Vermelha
ACETATO DE ABIRATERONA;61.286.647/0001-16;SANDOZ DO BRASIL IND_STRIA FARMAC_UTICA LTDA;250 MG COM CT FR PLAS PEAD OPC X 120;Regulado;5410.64;Tarja Vermelha (*)
ACETATO DE ABIRATERONA;05.333.542/0001-08;TEVA FARMAC_UTICA LTDA.;250 MG COM REV CT FR PLAS PEAD OPC X 120;Regulado;7699.74;Tarja Vermelha
ACETATO DE ABIRATERONA;05.035.244/0001-23;SUN FARMAC_UTICA DO BRASIL LTDA;250 MG COM CT FR PLAS PEAD OPC X 120;Regulado;5410.64;Tarja Vermelha (*)
ACETATO DE ABIRATERONA;05.333.542/0001-08;TEVA FARMAC_UTICA LTDA.;250 MG COM REV CT FR PLAS PEAD OPC X 120;Regulado;5410.64;Tarja Vermelha (*)
ACETATO DE ATOSIBANA;64.171.697/0001-46;ACCORD FARMAC_UTICA LTDA;7,50 MG/ML SOL DIL INJ CT FA VD TRANS X 5 ML;Regulado;624.59;Tarja Vermelha (*)
ACETATO DE ATOSIBANA;64.171.697/0001-46;ACCORD FARMAC_UTICA LTDA;7,50 MG/ML SOL DIL INJ CT FA VD TRANS X 5 ML;Regulado;397.69;Tarja Vermelha
ACETATO DE ATOSIBANA;74.232.034/0001-48;LABORAT_RIOS FERRING LTDA;7,5 MG/ML SOL DIL INFUS CT FA VD TRANS X 5 ML;Regulado;406.01;Sem Informa__es de tarja (*)
ACETATO DE ATOSIBANA;74.232.034/0001-48;LABORAT_RIOS FERRING LTDA;7,5 MG/ML SOL INJ CT FA VD TRANS X 0,9 ML;Regulado;200.87;Tarja Vermelha
ACETATO DE ATOSIBANA;74.232.034/0001-48;LABORAT_RIOS FERRING LTDA;7,5 MG/ML SOL DIL INFUS CT FA VD TRANS X 5 ML;Regulado;624.63;Tarja Vermelha
"ACETATO DE BAZEDOXIFENO;ESTROG_NIOS CONJUGADOS";61.072.393/0001-33;WYETH IND_STRIA FARMAC_UTICA LTDA;0,45 MG + 20 MG COM REV LIB PROL CT ENV AL BL AL PLAS TRANS X 30;Regulado;45.73;Tarja Vermelha
ACETATO DE BUSSERRELINA;02.685.377/0001-57;SANOFI-AVENTIS FARMAC_UTICA LTDA;3,3 MG/ MICROBAST IMPL CT SER APLIC X 2 MICROBAST;Regulado;1338.62;Tarja Vermelha (*)
ACETATO DE CASPOFUNGINA;61.190.096/0001-92;EUROFARMA LABORAT_RIOS S.A.;50 MG PO LIOF SOL INJ CT 1 FA VD TRANS;Regulado;2774.57;Tarja Vermelha (*)
